clock,covid19,others,total
1114,0,8,8
1115,0,8,8
1116,0,8,8
1117,0,8,8
1118,0,8,8
1119,0,8,8
1120,0,8,8
1121,0,8,8
1122,0,8,8
1123,0,8,8
1124,0,6,6
1125,1,6,7
1126,2,6,8
1127,1,7,8
1128,1,8,9
1129,1,9,10
1130,0,9,9
1131,0,9,9
1132,0,8,8
1133,0,9,9
1134,0,10,10
1135,0,9,9
1136,0,10,10
1137,0,11,11
1138,0,12,12
1139,0,12,12
1140,0,12,12
1141,0,12,12
1142,0,13,13
1143,0,12,12
1144,0,12,12
1145,0,12,12
1146,0,13,13
1147,0,12,12
1148,0,12,12
1149,0,13,13
1150,0,13,13
1151,0,12,12
1152,0,13,13
1153,0,13,13
1154,0,13,13
1155,0,12,12
1156,0,13,13
1157,0,14,14
1158,0,11,11
1159,0,11,11
1160,0,11,11
1161,0,11,11
1162,0,10,10
1163,0,10,10
1164,0,10,10
1165,0,10,10
1166,0,10,10
1167,0,11,11
1168,0,10,10
1169,0,10,10
1170,0,10,10
1171,0,9,9
1172,0,10,10
1173,0,8,8
1174,0,8,8
1175,0,9,9
1176,0,8,8
1177,0,8,8
1178,0,6,6
1179,0,7,7
1180,0,7,7
1181,0,7,7
1182,0,7,7
1183,0,7,7
1184,0,6,6
1185,0,7,7
1186,0,8,8
1187,0,7,7
1188,0,7,7
1189,0,5,5
1190,0,5,5
1191,0,6,6
1192,0,6,6
1193,0,6,6
1194,0,6,6
1195,0,7,7
1196,0,6,6
1197,0,6,6
1198,0,5,5
1199,0,5,5
1200,0,5,5
1201,0,6,6
1202,0,7,7
1203,0,5,5
1204,0,5,5
1205,0,6,6
1206,0,6,6
1207,0,6,6
1208,0,4,4
1209,0,5,5
1210,0,5,5
1211,0,5,5
1212,0,6,6
1213,0,4,4
1214,0,5,5
1215,0,5,5
1216,0,5,5
1217,0,6,6
1218,0,5,5
1219,0,5,5
1220,0,5,5
1221,1,5,6
1222,0,6,6
1223,0,6,6
1224,0,6,6
1225,0,6,6
1226,0,6,6
1227,0,7,7
1228,1,7,8
1229,0,8,8
1230,0,8,8
1231,0,8,8
1232,0,8,8
1233,0,8,8
1234,0,7,7
1235,0,8,8
1236,0,7,7
1237,0,7,7
1238,0,5,5
1239,0,6,6
1240,0,6,6
1241,0,6,6
1242,0,7,7
1243,0,7,7
1244,0,8,8
1245,0,7,7
1246,0,7,7
1247,0,6,6
1248,0,7,7
1249,0,7,7
1250,0,7,7
1251,0,7,7
1252,0,8,8
1253,0,6,6
1254,0,6,6
1255,0,6,6
1256,0,7,7
